CODI MESURAMENT,CODI EOI,PROVINCIA,CODI MUNICIPI,CODI ESTACIÓ,NOM ESTACIÓ,MUNICIPI,LATITUD,LONGITUD,ALTITUD,TIPUS ESTACIÓ,ÀREA URBANA,MAGNITUD,CONTAMINANT,UNITATS,PUNT MOSTREIG,ANY,MES,DIA,DATA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,Georeferència
08019004_10_20200303,8019004,8,19,,,Barcelona,41.40388,2.204501,3,,,10,PM10,µg/m3,08019004_10_47,2020,3,3,03/03/2020,7,V,7,V,7,V,6,V,5,V,8,V,13,V,13,V,14,V,17,V,20,V,37,V,,N,,N,25,V,22,V,33,V,47,V,28,V,25,V,24,V,23,V,18,V,14,V,
08019004_10_20200304,8019004,8,19,,,Barcelona,41.40388,2.204501,3,,,10,PM10,µg/m3,08019004_10_47,2020,3,4,04/03/2020,9,V,6,V,5,V,3,V,5,V,8,V,8,V,32,V,29,V,55,V,61,V,54,V,29,V,26,V,22,V,32,V,31,V,34,V,28,V,27,V,28,V,34,V,37,V,34,V,
08019004_10_20200301,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,3,1,01/03/2020,95,V,84,V,53,V,29,V,22,V,21,V,22,V,19,V,22,V,4,V,21,V,26,V,29,V,28,V,21,V,43,V,37,V,25,V,38,V,38,V,27,V,27,V,32,V,29,V,"(41.40388, 2.204501)"
08019004_10_20200322,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,3,22,22/03/2020,31,V,32,V,34,V,32,V,29,V,29,V,29,V,29,V,30,V,33,V,33,V,31,V,28,V,28,V,26,V,26,V,25,V,25,V,24,V,24,V,24,V,25,V,24,V,21,V,
08019004_10_20200321,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,3,21,21/03/2020,23,V,22,V,20,V,20,V,19,V,16,V,17,V,18,V,20,V,17,V,18,V,22,V,22,V,22,V,22,V,23,V,23,V,25,V,25,V,28,V,29,V,29,V,32,V,32,V,
08019004_10_20200319,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,3,19,19/03/2020,26,V,27,V,27,V,27,V,25,V,24,V,29,V,33,V,41,V,41,V,30,V,24,V,16,V,18,V,16,V,15,V,14,V,14,V,15,V,15,V,14,V,15,V,17,V,20,V,
08019004_10_20200324,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,3,24,24/03/2020,34,V,32,V,30,V,33,V,32,V,31,V,28,V,30,V,31,V,31,V,32,V,31,V,31,V,32,V,34,V,32,V,29,V,26,V,27,V,28,V,27,V,27,V,27,V,22,V,
08019004_10_20200312,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,3,12,12/03/2020,37,V,41,V,40,V,38,V,35,V,39,V,40,V,80,V,62,V,79,V,75,V,76,V,39,V,25,V,14,V,20,V,24,V,20,V,18,V,18,V,14,V,10,V,9,V,12,V,
08019004_10_20200307,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,3,7,07/03/2020,6,V,7,V,8,V,18,V,13,V,15,V,9,V,8,V,14,V,15,V,21,V,20,V,14,V,23,V,14,V,11,V,25,V,32,V,38,V,28,V,22,V,20,V,20,V,18,V,
08019004_10_20200309,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,3,9,09/03/2020,32,V,32,V,27,V,23,V,18,V,20,V,24,V,39,V,41,V,47,V,27,V,28,V,35,V,38,V,24,V,26,V,31,V,25,V,22,V,19,V,22,V,21,V,26,V,26,V,
08019004_10_20200313,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,3,13,13/03/2020,14,V,18,V,20,V,15,V,18,V,21,V,19,V,18,V,29,V,31,V,46,V,32,V,41,V,28,V,32,V,41,V,39,V,41,V,36,V,36,V,31,V,24,V,22,V,24,V,
08019004_10_20200310,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,3,10,10/03/2020,22,V,22,V,25,V,21,V,8,V,7,V,11,V,26,V,25,V,31,V,33,V,45,V,39,V,30,V,38,V,48,V,56,V,70,V,56,V,42,V,36,V,38,V,37,V,30,V,
08019004_10_20200306,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,3,6,06/03/2020,5,V,6,V,5,V,3,V,5,V,6,V,13,V,8,V,16,V,22,V,25,V,40,V,32,V,28,V,23,V,35,V,28,V,33,V,29,V,19,V,18,V,13,V,10,V,8,V,
08019004_10_20200305,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,3,5,05/03/2020,34,V,29,V,30,V,30,V,28,V,26,V,24,V,46,V,38,V,45,V,40,V,42,V,41,V,33,V,38,V,37,V,50,V,12,V,16,V,15,V,10,V,17,V,16,V,7,V,
08019004_10_20200311,8019004,8,19,4,Barcelona (Poblenou),Barcelona,41.40388,2.204501,3,background,urban,10,PM10,µg/m3,08019004_10_47,2020,3,11,11/03/2020,33,V,29,V,26,V,26,V,26,V,30,V,34,V,54,V,54,V,66,V,50,V,36,V,30,V,28,V,24,V,27,V,25,V,32,V,33,V,28,V,33,V,33,V,35,V,35,V,
